Flname,FnName,Art,Max,Unq,Len,OT,Class,ObfStat
chklic_aaa.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
chklic_aaa.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
chklic_aaa.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
chklic_aaa.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
chklic_aaa.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
chklic_aaa.prob3,main,211.72088057,5.28333779158,12,112,0,norm,norm
chklic_aaa.prob3,ACTIVATION_CODE_i$nit,16.0986060525,3.55159191602,4,5,0,norm,norm
chklic_aaa.prob3,EXPIRE_TIME_i$nit,27.2273452066,3.55159191602,4,15,0,norm,norm
chklic_aaa.prob3,checklicense,544.489444014,9.66291785791,19,149,3,norm,norm
chklic_aaa.prob3,renewlicense,96.0400509561,6.28110523908,13,23,0,norm,norm
chklic_aaa.prob3,megaInit,25.1427891938,6.11676071692,5,6,0,norm,norm
chklic_aaa.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
chklic_aaa.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
chklic_encl.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
chklic_encl.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
chklic_encl.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
chklic_encl.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
chklic_encl.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
chklic_encl.prob3,main,37.0313024013,4.59055392957,6,18,0,norm,norm
chklic_encl.prob3,encodeStrings_litStr3_i$nit,16.1487824756,6.71292734044,4,4,0,norm,norm
chklic_encl.prob3,encodeStrings_litStr2_i$nit,16.1487824756,6.71292734044,4,4,0,norm,norm
chklic_encl.prob3,_1_stringEncoder,1981.86020459,8.1755716809,10,563,1,norm,norm
chklic_encl.prob3,encodeStrings_litStr4_i$nit,16.1487824756,6.71292734044,4,4,0,norm,norm
chklic_encl.prob3,EXPIRE_TIME_i$nit,27.2273452066,3.55159191602,4,15,0,norm,norm
chklic_encl.prob3,encodeStrings_litStr1_i$nit,16.1487824756,6.71292734044,4,4,0,norm,norm
chklic_encl.prob3,checklicense,116.638242869,5.29465271956,11,49,0,norm,norm
chklic_encl.prob3,ACTIVATION_CODE_i$nit,16.0986060525,3.55159191602,4,5,0,norm,norm
chklic_encl.prob3,megaInit,48.2011227457,6.11676071692,5,11,0,norm,norm
chklic_encl.prob3,renewlicense,31.4634127984,6.28110523908,6,10,0,norm,norm
chklic_encl.prob3,encodeStrings_litStr0_i$nit,16.1487824756,6.71292734044,4,4,0,norm,norm
chklic_encl.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
chklic_encl.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
7_1_3_constant_long_0_aaa.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
7_1_3_constant_long_0_aaa.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
7_1_3_constant_long_0_aaa.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
7_1_3_constant_long_0_aaa.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
7_1_3_constant_long_0_aaa.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
7_1_3_constant_long_0_aaa.prob3,main,645.946304517,8.51844596613,19,242,1,norm,norm
7_1_3_constant_long_0_aaa.prob3,function_1,1072.70901603,9.66291785791,21,322,6,norm,norm
7_1_3_constant_long_0_aaa.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,norm,norm
7_1_3_constant_long_0_aaa.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
7_1_3_constant_long_0_aaa.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
2_1_1_constant_char_2_encl.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
2_1_1_constant_char_2_encl.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
2_1_1_constant_char_2_encl.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
2_1_1_constant_char_2_encl.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
2_1_1_constant_char_2_encl.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
2_1_1_constant_char_2_encl.prob3,encodeStrings_litStr0_i$nit,16.1487824756,6.71292734044,4,4,0,norm,norm
2_1_1_constant_char_2_encl.prob3,encodeStrings_litStr5_i$nit,16.1487824756,6.71292734044,4,4,0,norm,norm
2_1_1_constant_char_2_encl.prob3,_1_stringEncoder,1837.45430685,8.1755716809,10,522,1,norm,norm
2_1_1_constant_char_2_encl.prob3,encodeStrings_litStr1_i$nit,16.1487824756,6.71292734044,4,4,0,norm,norm
2_1_1_constant_char_2_encl.prob3,encodeStrings_litStr3_i$nit,16.1487824756,6.71292734044,4,4,0,norm,norm
2_1_1_constant_char_2_encl.prob3,megaInit,43.5894560353,6.11676071692,5,10,0,norm,norm
2_1_1_constant_char_2_encl.prob3,main,222.20654198,8.51844596613,16,81,1,norm,norm
2_1_1_constant_char_2_encl.prob3,function_1,1168.09794296,8.80976354467,23,276,3,norm,norm
2_1_1_constant_char_2_encl.prob3,encodeStrings_litStr2_i$nit,16.1487824756,6.71292734044,4,4,0,norm,norm
2_1_1_constant_char_2_encl.prob3,encodeStrings_litStr4_i$nit,16.1487824756,6.71292734044,4,4,0,norm,norm
2_1_1_constant_char_2_encl.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
2_1_1_constant_char_2_encl.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
7_1_3_constant_long_0_flat.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
7_1_3_constant_long_0_flat.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
7_1_3_constant_long_0_flat.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
7_1_3_constant_long_0_flat.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
7_1_3_constant_long_0_flat.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
7_1_3_constant_long_0_flat.prob3,main,308.567705751,7.37811219938,16,106,0,norm,norm
7_1_3_constant_long_0_flat.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,norm,norm
7_1_3_constant_long_0_flat.prob3,function_1,857.949080185,7.84798703507,20,280,1,norm,norm
7_1_3_constant_long_0_flat.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
7_1_3_constant_long_0_flat.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
7_1_3_constant_long_0_enca.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
7_1_3_constant_long_0_enca.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
7_1_3_constant_long_0_enca.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
7_1_3_constant_long_0_enca.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
7_1_3_constant_long_0_enca.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
7_1_3_constant_long_0_enca.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,norm,norm
7_1_3_constant_long_0_enca.prob3,function_1,4253.16921053,9.90582011626,23,1073,7,norm,norm
7_1_3_constant_long_0_enca.prob3,main,406.935168346,8.70208741777,19,121,2,norm,norm
7_1_3_constant_long_0_enca.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
7_1_3_constant_long_0_enca.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
RF-default_jmp.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
RF-default_jmp.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
RF-default_jmp.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
RF-default_jmp.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
RF-default_jmp.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
RF-default_jmp.prob3,_NONAME1,1409.35060083,40.0,16,103,35,norm,norm
RF-default_jmp.prob3,SECRET_1,787.140394512,10.9506955038,16,210,3,norm,norm
RF-default_jmp.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
RF-default_jmp.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
2_1_1_constant_char_2.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
2_1_1_constant_char_2.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
2_1_1_constant_char_2.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
2_1_1_constant_char_2.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
2_1_1_constant_char_2.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
2_1_1_constant_char_2.prob3,main,195.279002031,9.2776238471,16,59,2,norm,norm
2_1_1_constant_char_2.prob3,function_1,1255.8373577,40.0,22,267,6,norm,norm
2_1_1_constant_char_2.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
2_1_1_constant_char_2.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
RF-default_encl.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
RF-default_encl.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
RF-default_encl.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
RF-default_encl.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
RF-default_encl.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
RF-default_encl.prob3,SECRET_1,795.811502769,10.9506955038,17,211,3,norm,norm
RF-default_encl.prob3,_1_stringEncoder,911.824258648,8.1755716809,12,260,1,norm,norm
RF-default_encl.prob3,megaInit,25.1427891938,6.11676071692,5,6,0,norm,norm
RF-default_encl.prob3,encodeStrings_litStr0_i$nit,16.1487824756,6.71292734044,4,4,0,norm,norm
RF-default_encl.prob3,encodeStrings_litStr1_i$nit,16.1487824756,6.71292734044,4,4,0,norm,norm
RF-default_encl.prob3,main,185.740134123,8.51844596613,13,71,1,norm,norm
RF-default_encl.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
RF-default_encl.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
test_aaa.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
test_aaa.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
test_aaa.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
test_aaa.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
test_aaa.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
test_aaa.prob3,main,1372.72386081,9.66291785791,18,460,2,norm,norm
test_aaa.prob3,failed,89.4547035623,8.69519979167,11,20,1,norm,norm
test_aaa.prob3,succeeded,81.4963360341,6.42542741252,10,24,0,norm,norm
test_aaa.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,norm,norm
test_aaa.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
test_aaa.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
1_1_0_constant_short_3_jmp.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
1_1_0_constant_short_3_jmp.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
1_1_0_constant_short_3_jmp.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
1_1_0_constant_short_3_jmp.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
1_1_0_constant_short_3_jmp.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
1_1_0_constant_short_3_jmp.prob3,_NONAME1,3741.82859828,40.0,27,494,59,norm,norm
1_1_0_constant_short_3_jmp.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
1_1_0_constant_short_3_jmp.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
chklic_891022408_aaa.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
chklic_891022408_aaa.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
chklic_891022408_aaa.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
chklic_891022408_aaa.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
chklic_891022408_aaa.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
chklic_891022408_aaa.prob3,renewlicense,117.514487567,6.42542741252,14,32,0,norm,norm
chklic_891022408_aaa.prob3,failed,87.1135830157,6.42542741252,10,28,0,norm,norm
chklic_891022408_aaa.prob3,checklicense,690.315403439,9.66291785791,19,190,4,norm,norm
chklic_891022408_aaa.prob3,main,240.054613123,5.28333779158,12,122,0,norm,norm
chklic_891022408_aaa.prob3,EXPIRE_TIME_i$nit,27.2273452066,3.55159191602,4,15,0,norm,norm
chklic_891022408_aaa.prob3,megaInit,25.1427891938,6.11676071692,5,6,0,norm,norm
chklic_891022408_aaa.prob3,ACTIVATION_CODE_i$nit,16.0986060525,3.55159191602,4,5,0,norm,norm
chklic_891022408_aaa.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
chklic_891022408_aaa.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
2_1_1_constant_char_2_jmp.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
2_1_1_constant_char_2_jmp.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
2_1_1_constant_char_2_jmp.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
2_1_1_constant_char_2_jmp.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
2_1_1_constant_char_2_jmp.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
2_1_1_constant_char_2_jmp.prob3,_NONAME1,3724.80685038,40.0,27,337,75,norm,norm
2_1_1_constant_char_2_jmp.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
2_1_1_constant_char_2_jmp.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
test_enca.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
test_enca.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
test_enca.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
test_enca.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
test_enca.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
test_enca.prob3,failed,26.480878819,6.28110523908,6,7,0,norm,norm
test_enca.prob3,main,393.796753282,9.55432852263,19,119,3,norm,norm
test_enca.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,norm,norm
test_enca.prob3,succeeded,26.480878819,6.28110523908,6,7,0,norm,norm
test_enca.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
test_enca.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
test_flat.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
test_flat.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
test_flat.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
test_flat.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
test_flat.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
test_flat.prob3,succeeded,58.9276460083,6.01453814696,12,17,0,norm,norm
test_flat.prob3,failed,63.3747192799,6.01453814696,11,18,0,norm,norm
test_flat.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,norm,norm
test_flat.prob3,main,308.12444893,7.37811219938,14,119,0,norm,norm
test_flat.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
test_flat.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
test_addop.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
test_addop.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
test_addop.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
test_addop.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
test_addop.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
test_addop.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,norm,norm
test_addop.prob3,_NONAME1,1063.78045553,40.0,19,400,6,norm,norm
test_addop.prob3,succeeded,26.480878819,6.28110523908,6,7,0,norm,norm
test_addop.prob3,failed,26.480878819,6.28110523908,6,7,0,norm,norm
test_addop.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
test_addop.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
RF-default_vir.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
RF-default_vir.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
RF-default_vir.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
RF-default_vir.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
RF-default_vir.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
RF-default_vir.prob3,SECRET_1,1524.59053703,7.37811219938,22,543,0,norm,norm
RF-default_vir.prob3,main,1352.51102522,6.93028463959,20,482,0,norm,norm
RF-default_vir.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,norm,norm
RF-default_vir.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
RF-default_vir.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
1_1_0_constant_short_3_addop.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
1_1_0_constant_short_3_addop.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
1_1_0_constant_short_3_addop.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
1_1_0_constant_short_3_addop.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
1_1_0_constant_short_3_addop.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
1_1_0_constant_short_3_addop.prob3,main,354.030628846,8.51844596613,16,157,1,norm,norm
1_1_0_constant_short_3_addop.prob3,_NONAME1,3800.46947535,40.0,26,967,19,norm,norm
1_1_0_constant_short_3_addop.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,norm,norm
1_1_0_constant_short_3_addop.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
1_1_0_constant_short_3_addop.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
1_1_0_constant_short_3_vir.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
1_1_0_constant_short_3_vir.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
1_1_0_constant_short_3_vir.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
1_1_0_constant_short_3_vir.prob3,__do_global_dtors_aux,42.7050707954,8.45457148764,7,8,2,norm,norm
1_1_0_constant_short_3_vir.prob3,frame_dummy,52.870806292,8.0274309682,9,12,1,norm,norm
1_1_0_constant_short_3_vir.prob3,function_1,2636.08480176,7.75613839453,29,932,1,norm,norm
1_1_0_constant_short_3_vir.prob3,megaInit,16.1487824756,6.71292734044,4,4,0,norm,norm
1_1_0_constant_short_3_vir.prob3,main,1467.64366671,6.93028463959,21,515,0,norm,norm
1_1_0_constant_short_3_vir.prob3,__libc_csu_init,122.317339912,7.17400789981,15,34,0,norm,norm
1_1_0_constant_short_3_vir.prob3,__libc_csu_fini,4.15181793146,4.15181793146,1,1,0,norm,norm
1_1_0_constant_short_3.prob3,_start,43.1203831143,4.37618793455,7,12,0,norm,norm
1_1_0_constant_short_3.prob3,deregister_tm_clones,57.7995731395,5.33524868132,10,14,0,norm,norm
1_1_0_constant_short_3.prob3,register_tm_clones,83.9259915948,7.50472264397,11,18,1,norm,norm
